gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000113368	3194	0.703228214768695	0.08140029784627	0.186957418108828	0.0216339749251754	0.00678009435103169
ENSG00000155324	1964	0.804810454788024	0.0488554300928378	0.133846929121548	0.0081207134763484	0.00436647252124124
ENSG00000164244	4729	2.5740822134497e-07	0.218473443395818	9.10476878927056e-07	0.772752165927214	0.00877322279186711
ENSG00000164902	2724	0.728367193867865	0.075438838224138	0.170791383450921	0.0176815758937463	0.00772100856332921
ENSG00000173926	3738	4.05845700226073e-06	0.690282788979513	1.17402552573316e-06	0.199574031130839	0.110137947407121
ENSG00000251072	3194	0.696967253463093	0.0806755770452884	0.192760887515072	0.0223052290184945	0.00729105295805195
ENSG00000064651	5860	1.37701452910873e-25	1.16873166075173e-19	1.33230032751317e-08	0.0103181260199351	0.989681860657062
ENSG00000245937	5858	3.24621216033512e-42	2.7552003620883e-36	8.35222106333888e-09	0.00609498547952866	0.993905006168247
ENSG00000138829	6149	4.14863055769464e-18	3.52112181085227e-12	1.17821130045044e-06	0.999998782719269	3.90659120304539e-08
ENSG00000066583	5234	2.6119735779655e-07	0.0835066334496078	2.85607818114633e-06	0.913104908665108	0.00338534060974444
