gene	nsnps	PP.H0.abf	PP.H1.abf	PP.H2.abf	PP.H3.abf	PP.H4.abf
ENSG00000064651.14_5_128083766_128083790	2326	9.5551066706312e-07	0.810982964510589	1.83041210662517e-07	0.155321246710034	0.0336946502275006
ENSG00000064651.14_5_128083791_128083847	2326	9.53993744904828e-07	0.809695487487811	1.7957905071166e-07	0.152378532583437	0.0379248463559564
ENSG00000064651.14_5_128083848_128084710	2326	2.46087476833289e-09	0.00208865016760726	1.67784053518005e-08	0.0132558982118666	0.984655432381246
ENSG00000064651.14_5_128112814_128112933	2326	2.32966189198052e-10	0.000197728416080666	1.69022638035004e-08	0.0133592346149688	0.986443019833722
ENSG00000064651.14_5_128114212_128114287	2326	3.78494763211378e-09	0.00321244770677813	2.74377688892855e-08	0.0223131391638239	0.974474381906683
ENSG00000064651.14_5_128114586_128114681	2326	4.92171943652342e-09	0.00417727478793021	2.48228680931395e-08	0.0200925046785343	0.975730190788947
ENSG00000064651.14_5_128131067_128131206	2326	2.09217099722214e-09	0.00177571543267575	4.69459535657538e-08	0.0388857096843982	0.9593385258448
ENSG00000064651.14_5_128134165_128134275	2326	6.77278679204681e-09	0.00574835519889539	1.16502575454242e-07	0.0979844752330169	0.896267046292724
ENSG00000064651.14_5_128135700_128135808	2326	3.86802321009516e-08	0.0328295751983637	7.51548022533943e-08	0.0628828228284845	0.904287488138119
ENSG00000064651.14_5_128138597_128138724	2326	1.83976380874918e-08	0.0156148660506805	3.58190630905778e-08	0.0294462392651348	0.954938840467483
ENSG00000064651.14_5_128138824_128138908	2326	1.08893025409674e-08	0.00924221901495852	2.8749579702198e-08	0.023433679693737	0.967324061652424
ENSG00000064651.14_5_128141830_128141981	2326	1.84415075014135e-09	0.0015652099907486	2.82621555917537e-08	0.0230118830898568	0.975422876813087
ENSG00000064651.14_5_128147622_128147729	2326	1.80466369684595e-10	0.00015316956317308	2.16009085418093e-08	0.0173511236551188	0.982495685000332
ENSG00000064651.14_5_128148754_128148877	2326	2.28218536213284e-10	0.000193698878970537	1.54218897404448e-08	0.0121015157813512	0.98770476968957
ENSG00000064651.14_5_128149997_128150098	2326	9.35887378588454e-10	0.000794327836306164	1.97493133830878e-08	0.0157786639723924	0.983426987506102
ENSG00000064651.14_5_128151241_128151396	2326	1.93813307072115e-11	1.64497682494802e-05	1.94548019855889e-08	0.0155276706205997	0.984455860136966
ENSG00000064651.14_5_128152706_128152805	2326	3.09477609965107e-10	0.000262666946828104	1.75271193084096e-08	0.0138901722108691	0.985847143005705
ENSG00000064651.14_5_128157988_128158048	2326	7.63517434856257e-07	0.648030057768412	1.59121005034945e-07	0.134835701597786	0.217133317995362
ENSG00000064651.14_5_128158049_128158052	2326	9.07877886116771e-07	0.770554976387248	1.77715910312506e-07	0.150756442612475	0.0786874954064816
ENSG00000064651.14_5_128158053_128158164	2326	1.00171298167465e-09	0.000850196854383817	3.50927166991654e-08	0.0288143613040168	0.970335405747168
ENSG00000064651.14_5_128161660_128161800	2326	1.02692810174551e-10	8.71598010362963e-05	2.82561559837714e-08	0.0230053063360489	0.976907505504064
ENSG00000064651.14_5_128167761_128167867	2326	1.01049935046428e-11	8.57654223154173e-06	1.79644171401027e-08	0.0142614428531003	0.985729962630147
ENSG00000064651.14_5_128167868_128171095	2326	3.90787678586373e-09	0.0033167829622278	4.66308992197918e-08	0.0386195844658907	0.958063582033105
ENSG00000064651.14_5_128171667_128171746	2326	4.83357116481513e-09	0.00410245956171594	1.54003831309175e-08	0.0120871566037262	0.983810363600604
ENSG00000064651.14_5_128171747_128171882	2326	8.89472930520599e-07	0.754933899652493	1.85727802122639e-07	0.157547649608426	0.0875173755383489
ENSG00000064651.14_5_128174541_128174666	2326	1.72626883620896e-11	1.46515854462827e-05	3.42739464914823e-08	0.0281179038390234	0.97186741028432
ENSG00000064651.14_5_128177105_128177152	2326	5.3228268997729e-09	0.00451771192887099	6.22855122423516e-08	0.051920829458361	0.943561391004428
ENSG00000064651.14_5_128177549_128177639	2326	8.9371106355273e-07	0.758530985283103	1.67619879771789e-07	0.142166894069675	0.0993010593162789
ENSG00000064651.14_5_128178380_128178566	2326	8.65510172015299e-07	0.734595676752052	2.35648893173523e-07	0.199939878885884	0.0654633432029983
ENSG00000064651.14_5_128178567_128178689	2326	1.12930383493647e-10	9.58488694537472e-05	1.39973242231853e-08	0.010891117558908	0.989013019461384
ENSG00000064651.14_5_128180883_128180994	2326	4.07314365125156e-09	0.00345705205293251	1.70601956727924e-08	0.0134966749472459	0.983046251866483
ENSG00000064651.14_5_128182855_128182921	2326	7.77315184440049e-08	0.0659740800773963	1.05259770887982e-07	0.0884929581255586	0.845532778805757
ENSG00000064651.14_5_128182922_128182941	2326	4.70207193924619e-07	0.399085051802988	2.34803450719312e-07	0.198885750394018	0.402028492792351
ENSG00000064651.14_5_128184366_128184501	2326	3.05623810503014e-09	0.00259396061614437	3.22128488039208e-08	0.0263693924582048	0.971036611656565
ENSG00000064651.14_5_128184502_128184507	2326	9.49440180841355e-07	0.805830681985812	1.79028539396612e-07	0.151906953583503	0.042261235961965
ENSG00000064651.14_5_128184723_128184740	2326	4.14924930140834e-07	0.352164618872574	1.00230081012073e-07	0.0845062483470636	0.563328617625352
ENSG00000064651.14_5_128184741_128184788	2326	2.46030508879941e-07	0.208816665610623	6.30016083678813e-08	0.0527337231018066	0.738449302255453
ENSG00000064651.14_5_128184789_128184856	2326	5.13862220370632e-13	4.36136948744958e-07	1.84970147063099e-08	0.0147139256378774	0.985285619727645
ENSG00000064651.14_5_128186496_128187025	2326	2.74240471897381e-13	2.3275967349659e-07	2.12061840982762e-08	0.0170156156118887	0.98298413042198
ENSG00000064651.14_5_128187026_128188442	2326	2.34685949268783e-16	1.9918805035633e-10	1.12552256181281e-08	0.00856135502191548	0.99143863352367
ENSG00000064651.14_5_128188443_128189677	2326	6.41742689683288e-16	5.44674598486686e-10	1.1992648401961e-08	0.00918786393798815	0.990812123524685
ENSG00000113368.12_5_126776623_126777135	536	0.950297690710161	0.0145775562559047	0.0335831089266379	0.000514137019156674	0.00102750708813954
ENSG00000113368.12_5_126777136_126777152	537	0.950782181772841	0.014620322681447	0.0330192350220941	0.000506670224779573	0.00107159029883809
ENSG00000113368.12_5_126777153_126777160	537	0.949432926986591	0.0145995749847268	0.0343910125889975	0.000527787149743421	0.00104869828994145
ENSG00000113368.12_5_126777161_126777188	537	0.900378178924823	0.0138452526389053	0.0828893104804874	0.00127298730403038	0.00161427065175379
ENSG00000113368.12_5_126777189_126777244	537	0.948082160415638	0.0145788040410625	0.035661887020668	0.000547248377937135	0.00112990014469417
ENSG00000113368.12_5_126777245_126777252	537	0.946574510283853	0.0145556206749456	0.0372259565347205	0.000571356657799718	0.00107255584868073
ENSG00000113368.12_5_126777253_126777360	537	0.943287515827261	0.0145050760596501	0.0404462815374882	0.000620808324328583	0.00114031825127229
ENSG00000113368.12_5_126777361_126777378	538	0.944302553078773	0.0145513622753166	0.0393916433079733	0.000605862458552976	0.00114857887938387
